"Avg # Bars In Losing Trades: All","Avg # Bars In Losing Trades: Long","Avg # Bars In Losing Trades: Short","Avg # Bars In Winning Trades: All","Avg # Bars In Winning Trades: Long","Avg # Bars In Winning Trades: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg Losing Trade %: All","Avg Losing Trade %: Long","Avg Losing Trade %: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Avg Trade %: All","Avg Trade %: Long","Avg Trade %: Short","Avg Trade: All","Avg Trade: Long","Avg Trade: Short","Avg Winning Trade %: All","Avg Winning Trade %: Long","Avg Winning Trade %: Short","Avg Winning Trade: All","Avg Winning Trade: Long","Avg Winning Trade: Short","Buy & Hold Return","Buy & Hold Return %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Gross Loss %: All","Gross Loss %: Long","Gross Loss %: Short","Gross Loss: All","Gross Loss: Long","Gross Loss: Short","Gross Profit %: All","Gross Profit %: Long","Gross Profit %: Short","Gross Profit: All","Gross Profit: Long","Gross Profit: Short","Largest Losing Trade %: All","Largest Losing Trade %: Long","Largest Losing Trade %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Largest Winning Trade %: All","Largest Winning Trade %: Long","Largest Winning Trade %: Short","Largest Winning Trade: All","Largest Winning Trade: Long","Largest Winning Trade: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Max Drawdown","Max Drawdown %","Net Profit %: All","Net Profit %: Long","Net Profit %: Short","Net Profit: All","Net Profit: Long","Net Profit: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Open PL","Open PL %","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Sharpe Ratio","Sortino Ratio","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","__% to take at First TP","__% to take at Second TP","__% to take at Third TP","__ABC Entry Settings","__AO Divergence","__API Entry - Long","__API Entry - Short","__API Exit - Long","__API Exit - Short","__API First TP - Long","__API First TP - Short","__API Second TP - Long","__API Second TP - Short","__ATR Reversal","__ATR Trailing Stop Multiplier","__ATR Trailing Stop Source","__ATR length","__Activate Min Risk:Reward?","__Adx","__Alert Frequency","__Allow Reversal Trades","__Aroon","__Baseline","__BollingerBands Contact","__Bull vs. Bears","__CMF Cross 50-Line","__CMF Level","__Close trade on reverse strategy","__Dashboard Distance","__Dashboard On / Off","__Depth","__Deviation","__Divergence Look Left","__Divergence Look Right","__Divergence Type","__EMA Pressure","__EMA Trend Direction","__Enable Max Trades?","__Enable Repainting?","__Engulfing Candle","__HMA BAR","__HMA Len","__HMA Pivot","__HMA Trend Direction","__Highest High lookback","__KST Cross Signal","__KST Divergence","__Left Bars","__Limit order for Entry?","__Limit order on Close","__Long Trades","__Lookback1","__Lookback2","__Lookback3","__Lookback4","__Lookback5","__Lookback6","__Lookback7","__Lookback8","__Lowest Low Lookback","__MA 1","__MA 2","__MA 3","__MA 4","__MA 5","__MA Length #1","__MA Length #2","__MA Length #3","__MA Length #4","__MA Length #5","__MA Type #1","__MA Type #2","__MA Type #3","__MA Type #4","__MA Type #5","__MACD Cross Signal","__MACD Divergence","__MACD Histogram Pivot","__Max Drawdown Daily (%)","__Max Trades Per Direction?","__Min Risk:Reward","__Notes","__OBV Divergence","__Parabolic SAR Direction","__Parabolic SAR Reversal","__Plot Entry/SL/TP","__Plot trail trigger price","__Probability Formula","__Probability Formula Length","__Profit factor Long (Risk to Reward)","__Profit factor Short (Risk to Reward)","__R:R To Trigger Exit","__RSI Cross 50-Line","__RSI Divergence","__RSI Level","__RVI Divergence","__RVI Position","__Required Strong LONG Score","__Required Strong SHORT Score","__Reverse?","__Right Bars","__Risk Adjustment","__Set Max Daily DrawDown","__Short Trades","__Stoch Cross Signal","__Stochastic Divergence","__Stop Loss Buffer - Long","__Stop Loss Buffer - Short","__Stop Loss Long %","__Stop Loss Short %","__SuperTrend Direction","__SuperTrend Reversal","__Support/Resistance Cross","__Swing Lookback","__Take Multi Profit X3","__Take Profit Long %","__Take Profit Short %","__Take Protit Fibonacci LEVEL","__Thamers ALL IN ONE RSI","__Time Session To Ignore Trades","__Timezone","__Type of Stoploss","__Type of Take Profit","__Use ATR Trailing Stop","__Use Limit exit","__Use Strategy Alerts? - Please read the tooltip","__Use Time Session Filter","__VWAP Cross HMA","__VWAP Trend","__Waddah Attar","__Wait for confirmation of new entry on reversal","__Wait for confirmed?","__WaveTrend Cross Signal","__WaveTrend Divergence","__Z distance from VWAP","comment"
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-513.24,-25.66,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,10.32,0.35,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Current parameters."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-513.50,-25.68,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,10.83,0.37,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",89.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""Highest High lookback"": 73 => 89."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-513.33,-25.67,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,10.50,0.36,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Strong","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""RSI Level"": Off => Strong."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-513.09,-25.65,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,10.01,0.34,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,0,"Weak","Off","Off","Changed ""Wait for confirmed?"": true => false."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-512.87,-25.64,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,9.58,0.32,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Weak","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""HMA Pivot"": Off => Weak."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-512.68,-25.63,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,9.20,0.31,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,0,"Weak","Off","Off","Changed ""Wait for confirmed?"": true => false."
31.77,32.06,31.38,38.82,55.58,24.45,36.86,48.04,26.09,1.24,1.42,1.02,24.90,28.33,20.40,0.44,0.42,0.46,8.83,8.42,9.23,1.09,1.29,0.92,21.80,25.78,18.40,-512.51,-25.63,271.81,134.27,137.54,37.34,24.08,13.26,746.86,481.68,265.18,85.03,46.40,38.63,1700.56,927.94,772.62,1.10,1.10,0.80,32.87,32.87,23.36,1.71,1.71,0.98,37.90,37.90,21.97,0,0,0,0.08,0.08,0.08,66.83,2.24,47.68,22.31,25.37,953.70,446.26,507.44,30.00,17.00,13.00,78.00,36.00,42.00,8.87,0.30,72.22,67.92,76.36,2.28,1.93,2.91,0.88,0.91,0.90,0.53,1.32,108.00,53.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,30.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""Lowest Low Lookback"": 60 => 30."
32.16,37.17,25.71,40.18,57.08,25.34,37.83,50.44,25.44,1.24,1.41,1.03,24.83,28.17,20.54,0.40,0.38,0.42,8.04,7.67,8.41,1.09,1.28,0.91,21.70,25.58,18.30,-512.68,-25.63,273.21,135.94,137.27,39.73,25.35,14.37,794.59,507.09,287.50,83.56,46.05,37.51,1671.23,921.00,750.23,1.10,1.10,0.80,32.27,32.27,22.98,1.71,1.71,0.98,37.62,37.62,21.57,0,0,0,0.08,0.08,0.08,88.58,3.31,43.83,20.70,23.14,876.64,413.91,462.73,32.00,18.00,14.00,77.00,36.00,41.00,8.96,0.31,70.64,66.67,74.55,2.10,1.82,2.61,0.87,0.91,0.89,0.48,1.08,109.00,54.00,55.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","VWMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""MA Type #3"": DEMA => VWMA."
37.35,37.17,37.56,55.33,57.08,53.58,49.57,50.44,48.65,1.37,1.39,1.36,27.48,27.78,27.13,0.43,0.38,0.47,8.50,7.57,9.47,1.27,1.26,1.29,25.49,25.24,25.74,-512.14,-25.61,261.93,134.07,127.86,46.71,25.00,21.70,934.15,500.07,434.08,91.76,45.43,46.33,1835.24,908.59,926.65,1.10,1.10,1.10,31.93,31.93,31.27,1.71,1.71,1.12,37.41,37.41,31.60,0,0,0,0.08,0.08,0.08,86.30,3.31,45.05,20.43,24.63,901.08,408.52,492.57,34.00,18.00,16.00,72.00,36.00,36.00,7.98,0.28,67.92,66.67,69.23,1.96,1.82,2.13,0.93,0.91,0.95,0.44,0.97,106.00,54.00,52.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,13.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,1.00,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""Stop Loss Short %"": 0.7 => 1."
32.32,32.29,32.36,40.14,57.95,24.45,37.94,49.87,26.43,1.24,1.42,1.02,24.75,28.40,20.31,0.44,0.44,0.44,8.75,8.75,8.75,1.09,1.29,0.92,21.89,25.82,18.44,-512.14,-25.61,277.07,136.89,140.18,38.36,24.14,14.22,767.27,482.86,284.41,86.48,47.76,38.71,1729.54,955.25,774.29,1.10,1.10,0.80,32.96,32.96,23.42,1.71,1.71,0.98,37.90,37.90,22.03,0,0,0,0.08,0.08,0.08,71.53,3.01,48.11,23.62,24.49,962.27,472.39,489.88,31.00,17.00,14.00,79.00,37.00,42.00,8.15,0.28,71.82,68.52,75.00,2.25,1.98,2.72,0.88,0.91,0.91,0.53,1.29,110.00,54.00,56.00,1.00,0,1.00,50.00,100.00,100.00,"Close","Off","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","Off",1.00,"High/Low",14.00,0,"Off","Once per bar",true,"Off","ABC","Very Strong","Off","Off","Weak",true,3.00,true,10.00,7.00,7.00,2.00,"Regular","Very Strong","Very Strong",true,0,"Off",0,100.00,"Off","Off",73.00,"Off","Strong",9.00,true,"close",true,4.00,20.00,13.00,10.00,10.00,10.00,10.00,10.00,60.00,9.00,13.00,75.00,100.00,195.00,true,true,true,true,true,"EMA","HMA","DEMA","EMA","HEMA","Weak","Strong","Off",20.00,5.00,1.00," ","Weak","Off","Strong",true,true,0,136.00,1.20,1.20,0,"Off","Strong","Off","Off","Off",10.00,10.00,0,2.00,1.00,0,true,"Off","Strong",0,0,1.00,0.70,"Weak","Off","Strong",5.00,0,1.00,1.00,1.23,"Off","00:00","GMT+2","Fixed Percent","R:R",0,true,0,0,"Weak","Strong","Mandatory",0,true,"Weak","Off","Off","Changed ""Lookback2"": 13 => 20."
